Product_cate_ID,Product_cate_name,P_Description
1,蔬菜,蔬菜是重要的副食品，一年四季有不同的蔬菜種類。不僅提供食物的變化，增進食慾，也提供人體所需要的營養，維持身體健康。近年有更多證明攝取蔬菜與水果，罹患癌症的危險性較低，對人體十份有益
2,米麵五穀,米麵五穀是一種結合多種穀物的主食選擇，其中可能包含大米、小麥、糙米、燕麥、玉米等多種穀物成分。這種組合不僅賦予食物豐富的口感，還提供了多種營養素，包括碳水化合物、蛋白質、纖維、維生素和礦物質。
3,植物油,植物油是一種由植物種子、果實或種子中提取的液體脂肪。它是一種廣泛應用於食品製造、烹飪和工業生產的重要食用油脂。植物油通常以壓榨、提煉或溶劑抽取等方式從植物原料中提取，其種類多樣，包括大豆油、葵花籽油、玉米油、橄欖油、花生油、棕櫚油等。
4,魚類,魚類是水中的脊椎動物，被廣泛視為健康食品之一。魚肉含有高質量的蛋白質、不飽和脂肪酸（例如歐米茄-3脂肪酸）、維生素和礦物質。不同種類的魚提供不同的風味和營養價值。
5,雞類,雞肉是最受歡迎和廣泛消費的肉類之一。它是富含蛋白質的食物，同時也提供維生素B、維生素D和礦物質。
6,豬類,豬類包括豬肉，是全球各地廣泛食用的肉類之一。豬肉富含蛋白質、維生素B、鐵和鋅。
7,牛類,牛類包括牛肉，也是世界各地廣泛食用的肉類。牛肉含有高質量的蛋白質、鐵、鋅和維生素B。
8,季節水產,季節水產是根據不同季節提供的時令水產產品。這種商業模式強調在特定季節性時期，以最佳的品質和新鮮度供應當季水產產品，滿足消費者對新鮮、多樣和營養豐富食材的需求。
9,即食粥麵/湯品/甜品,即食粥、麵、湯品和甜品是方便快捷的食品選擇，通常為消費者提供了在短時間內享受美味和滿足飢餓感的便利選項。
10,乾貨/醃漬/素料,乾貨、醃漬和素料是廣泛應用於烹飪和食品製作的重要食材類別，它們為料理提供了豐富的口味、質地和營養。
11,調味/醬料,調味和醬料是烹飪中不可或缺的元素，它們為食物帶來豐富的風味、口感和層次感。這些食材常用於調製、提味和提升料理的味道，使菜餚更加美味。
12,抹醬/果醬,抹醬和果醬是多用途且美味的食品，它們不僅用於塗抹在吐司或麵包上，還可應用於各種烘焙、烹飪和甜點製作中，為食物增添豐富的口感和風味。
13,堅果/果乾,堅果和果乾是營養豐富、口感美味的食品，它們被廣泛應用於各種飲食場合，提供了方便、美味和健康的選擇。
14,飲品/茶咖啡,飲品、茶和咖啡是日常生活中不可或缺的飲用選擇，它們不僅提供了水分補充，還為人們帶來各種風味和享受。
15,水果,水果是大自然的美味恩賜，它們是植物的成果，具有多種色彩、形狀和風味。
16,素料,不包含任何動物成分的食材，也稱為素食食材。這些食材主要由植物來源製成。
17,蛋類,蛋雞非傳統格子籠飼養，低密度平飼或放養方式飼養或友善人道飼養。 生長過程無使用荷爾蒙?合成開胃劑?人工色素， 均衡的穀物飼料配方，雞蛋品質良好，無腥味。 不強迫雞隻換羽，讓母雞自然生產，生產兼顧人道。
18,豆製品,堅持無基改、友善農法栽培的豆類，以及人道飼養的飼養的蛋品與乳品，讓您補充最優質的蛋白質
19,乳製品,乳源單純可追溯，確保乳品安全及風味，鮮乳牧場從飼養?殺菌?充填，一條龍供應乳源，每日限量，產地直送。 無動物用藥殘留，不使用荷爾蒙催乳，生產並秉持人道精神。
20,其他精選肉,肉質鮮甜無腥味，定期檢驗動物用藥，就是要給家人最好的！
