Order_ID,Product_ID,Member_ID,Order_date,Amount,Status,Shipping_address
1,318,57,2021/2/10 22:26,8,訂單處理中,
2,24,16,2023/1/10 16:14,3,已出貨,
3,317,62,2021/2/3 06:16,1,付款完成,
4,228,78,2021/5/12 04:48,1,訂單已完成,
5,100,11,2023/3/22 03:20,10,付款完成,
6,77,40,2021/9/7 14:13,3,已出貨,
7,11,1,2022/3/4 01:51,10,已出貨,
8,321,65,2022/3/21 18:13,4,已出貨,
9,265,93,2021/11/19 08:09,9,訂單處理中,
10,311,5,2023/3/21 09:42,8,訂單處理中,
11,204,36,2022/10/27 11:39,2,已出貨,
12,348,86,2021/9/21 16:41,7,訂單已完成,
13,280,45,2023/2/18 00:20,5,已取消,
14,46,92,2023/7/1 13:15,9,付款完成,
15,155,28,2022/6/12 05:18,3,付款完成,
16,102,64,2021/4/29 08:41,4,訂單已完成,
17,241,26,2022/2/10 06:49,1,已取消,
18,125,78,2022/4/29 01:17,5,訂單已完成,
19,244,98,2022/8/14 01:55,3,訂單處理中,
20,306,49,2023/4/10 02:36,7,訂單處理中,
21,195,9,2023/6/1 20:12,5,訂單已完成,
22,225,27,2021/4/2 08:20,1,付款完成,
23,300,6,2021/6/9 07:08,2,訂單已完成,
24,337,35,2023/6/7 00:20,5,訂單已完成,
25,59,36,2022/2/2 18:53,1,已取消,
26,284,98,2021/2/25 21:18,10,訂單已完成,
27,164,95,2023/10/30 07:09,10,已出貨,
28,50,100,2021/12/2 17:28,6,已退款,
29,98,60,2022/12/1 15:04,7,付款完成,
30,277,71,2021/10/29 09:46,1,已取消,
31,158,100,2021/8/3 12:09,8,已取消,
32,237,36,2023/6/26 22:58,10,訂單處理中,
33,19,2,2023/10/15 13:00,5,已退款,
34,217,35,2023/1/16 19:08,6,已退款,
35,2,24,2023/7/5 08:16,5,付款完成,
36,219,33,2022/9/9 19:21,4,訂單已完成,
37,340,92,2023/2/16 20:32,5,已出貨,
38,200,85,2023/11/12 11:18,10,已出貨,
39,281,79,2023/5/6 23:41,1,付款完成,
40,227,74,2021/3/20 09:29,7,已出貨,
41,344,43,2022/5/20 16:44,1,訂單處理中,
42,123,42,2022/10/13 09:52,10,付款完成,
43,328,81,2023/10/23 06:38,3,已退款,
44,308,9,2022/7/22 23:45,6,付款完成,
45,54,97,2023/7/10 17:56,9,付款完成,
46,323,51,2023/7/27 13:10,2,訂單已完成,
47,280,61,2023/8/25 07:29,2,已出貨,
48,2,59,2022/2/17 21:24,4,已取消,
49,39,93,2023/10/26 09:59,8,訂單處理中,
50,203,15,2021/5/31 06:46,8,已出貨,
51,218,60,2023/3/17 23:21,9,付款完成,
52,234,3,2023/10/23 00:20,9,已退款,
53,128,55,2023/10/12 17:33,10,訂單處理中,
54,282,70,2021/2/20 17:47,4,已出貨,
55,123,46,2022/5/2 03:00,8,訂單處理中,
56,201,99,2023/7/13 20:04,5,訂單處理中,
57,122,16,2021/6/29 08:17,1,訂單已完成,
58,183,74,2022/9/13 17:35,2,已退款,
59,75,5,2022/12/7 21:41,6,訂單已完成,
60,242,95,2021/6/3 20:45,2,已退款,
61,76,23,2022/9/13 02:11,3,已出貨,
62,272,51,2022/9/15 22:49,9,訂單已完成,
63,7,17,2023/7/27 11:40,7,已退款,
64,118,10,2023/10/24 10:57,3,已退款,
65,229,34,2022/11/3 19:21,6,已退款,
66,126,34,2021/3/6 01:11,6,已取消,
67,261,80,2023/7/17 08:32,5,已退款,
68,146,84,2023/4/26 10:18,6,訂單已完成,
69,297,64,2022/11/3 10:25,5,已取消,
70,228,10,2024/1/10 18:34,7,已出貨,
71,289,13,2022/1/3 10:23,10,訂單已完成,
72,254,68,2023/1/16 01:01,5,已取消,
73,297,6,2023/7/2 10:10,10,訂單已完成,
74,253,83,2023/1/4 07:41,10,已退款,
75,187,19,2021/3/20 05:07,10,訂單已完成,
76,247,21,2022/10/8 12:17,7,訂單已完成,
77,263,52,2021/5/19 02:14,9,訂單處理中,
78,216,36,2022/7/1 04:47,8,已退款,
79,111,13,2022/5/14 12:49,8,已退款,
80,186,17,2022/1/11 05:47,2,付款完成,
81,177,57,2022/3/12 12:23,7,已出貨,
82,77,71,2021/2/16 22:48,10,訂單已完成,
83,302,84,2022/10/10 09:56,9,已取消,
84,198,29,2023/8/10 07:26,6,訂單處理中,
85,319,41,2023/8/30 00:39,6,付款完成,
86,196,49,2022/10/11 00:59,5,訂單已完成,
87,258,49,2021/12/2 14:55,1,已取消,
88,69,77,2021/2/20 15:29,10,已取消,
89,6,83,2023/12/21 00:29,8,已取消,
90,170,87,2022/6/2 07:41,2,已退款,
91,219,71,2021/9/18 18:22,8,已出貨,
92,24,56,2022/8/4 23:09,7,訂單處理中,
93,252,43,2021/4/25 06:37,6,已出貨,
94,346,100,2022/10/22 13:36,7,已退款,
95,262,52,2022/3/6 03:06,2,訂單處理中,
96,17,90,2021/7/5 23:13,10,訂單處理中,
97,335,70,2023/2/5 20:16,9,付款完成,
98,198,74,2023/9/7 18:34,8,訂單處理中,
99,76,78,2022/7/10 10:25,3,已出貨,
100,102,83,2021/4/3 07:01,3,已退款,
