Recipe_ID,Title_R_name,Image_URL,Content,Publish_date,Recipe_category_ID
1,刈包封肉,3_ZOkgQunKsr.jpeg,刈包外型像錢包打開般，而「錢包」中間夾了滷肉、花生粉等豐富飽滿配料後，如同錢包塞滿錢財，象徵著「財運旺旺來」的祈福含意。,2021/11/1,5
2,法式經典油封鴨腿,12_QlLSDItRZI.jpg,法式經典油封鴨腿 選用宜蘭的櫻桃鴨，以法式古法鹽漬風乾後浸泡在大量鴨油與香料裡，低溫烘烤至酥爛。,2023/2/2,1
3,客家鮮肉鹹湯圓,15_JAzNHIdKFU.png,湯圓象徵圓滿、團圓，因此這一天吃湯圓能祈求下一年圓滿順利，小孩子吃湯圓也表示平安增歲！ 我們特別邀請研發主廚親自示範，美味的客家鮮肉鹹湯圓的做法。,2022/5/3,3
4,羊肉燉湯,10_RvFnWYNlbf.jpg,天冷進補，來碗羊肉燉湯 暖暖身子暖暖胃。,2022/11/4,3
5,古早味炒米粉,6_NfDoaCNUoD.jpeg,跟著影片做，在家也能完美重現米其林一星名店大廚炒出來的炒米粉。,2023/3/5,1
6,南靖雞,14_qnjaGlzcGi.jpeg,源於福建漳州，古時候只有達官貴人才能品嘗的好滋味，做法非常耗時，需經過炸、滷、蒸三個步驟，經過三道烹調程序的雞，用筷子一夾就會分離，並搭配著香菇、 金針花、 筍片、鳳梨與栗子和加入雞高湯製成的滷汁一起食用，精選食材與精準火侯就完成了美妙滋味。,2022/10/6,1
7,蹄膀封筍,45_zeilsrerOz.jpeg,遵循古早傳統做法，細火熬煮三小時以上，待蹄膀滷的香濃入味後，再用滷汁將筍乾滷入味。蹄膀肉質Q 軟卻不油膩，外皮彈牙富有膠質，筍乾爽脆。麻竹筍經殺菁發酵後，以人工翻面曝曬讓筍乾成自然褐黃並散發濃厚筍香，搭配出最經典的美味。,2021/1/8,1
8,五柳枝石老魚,2_wZjAdXeBgr.jpeg,濃濃古早味經典台菜，五柳枝選用五種配料切成柳絲狀__筍絲、紅蘿蔔、黑木耳、香菇、金針花，再搭配用三種不同的醋下去調和，有果香味的醋酸，蔬菜甜味的醋酸，層層分明且互相融合，有種繽紛又豐富的酸甜口感。,2023/12/8,1
9,香酥芋泥鴨,18_YDMLgaciEz.jpeg,"這是一道功夫手工菜,先將全鴨以多種辛香料和酒醃漬數小時,去除鴨腥味,然後蒸炊入味,趁熱片下整塊多汁的鴨肉,佐以精心調配之大甲檳榔心芋泥餡,芋芯鬆軟，油炸之後口感外酥脆內綿密，淡淡芋香襯托鴨肉的鮮美，而鴨肉也大有來頭,是選用法國土番鴨，肉質甘甜，採自然飼養法，在飼料中添加益生菌，不施打藥物，還有駐廠獸醫師檢驗，吃得安心有健康。",2022/4/8,1
10,沙茶炒螃蟹,11_mrqcobkSlT.jpg,在家也可以享受，沙茶炒螃蟹一起簡單快速上桌做做看吧。,2021/8/10,1
11,椒鹽溪蝦,30_PNrPsLjOIi.jpg,在家也可以享受，椒鹽溪蝦一起簡單快速上桌做做看吧。,2022/7/11,1
